O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Date,Domain Source
112011,Advertising and Promotions Managers,1.C.5.b,Attention to Detail,IM,Importance,4.48,27,0.14,4.2,4.76,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.5.c,Integrity,IM,Importance,4.17,27,0.16,3.83,4.51,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.6,Independence,IM,Importance,4.04,27,0.15,3.74,4.35,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.7.a,Innovation,IM,Importance,3.99,27,0.18,3.61,4.37,N,Aug-18,Incumbent
112011,Advertising and Promotions Managers,1.C.7.b,Analytical Thinking,IM,Importance,3.88,27,0.15,3.56,4.19,N,Aug-18,Incumbent
112021,Marketing Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.32,37,0.11,4.1,4.55,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.1.b,Persistence,IM,Importance,4.23,37,0.17,3.88,4.59,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.1.c,Initiative,IM,Importance,4.53,37,0.26,4.01,5,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.2.b,Leadership,IM,Importance,4.37,37,0.19,3.98,4.75,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.3.a,Cooperation,IM,Importance,4.08,37,0.2,3.68,4.48,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.3.b,Concern for Others,IM,Importance,3.37,36,0.23,2.89,3.84,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.3.c,Social Orientation,IM,Importance,3.8,37,0.21,3.37,4.23,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.4.a,Self Control,IM,Importance,3.87,37,0.19,3.48,4.26,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.01,37,0.22,3.57,4.46,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.31,37,0.14,4.04,4.59,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.5.a,Dependability,IM,Importance,4.35,37,0.17,4,4.7,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.5.b,Attention to Detail,IM,Importance,4.32,37,0.16,3.99,4.64,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.5.c,Integrity,IM,Importance,4.17,37,0.17,3.82,4.52,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.6,Independence,IM,Importance,3.88,37,0.17,3.54,4.22,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.7.a,Innovation,IM,Importance,4.15,37,0.14,3.86,4.44,N,Jul-15,Incumbent
112021,Marketing Managers,1.C.7.b,Analytical Thinking,IM,Importance,4,37,0.15,3.69,4.3,N,Jul-15,Incumbent
112022,Sales Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.35,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.1.b,Persistence,IM,Importance,4.48,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.1.c,Initiative,IM,Importance,4.78,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.2.b,Leadership,IM,Importance,4.57,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.3.a,Cooperation,IM,Importance,4.35,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.3.b,Concern for Others,IM,Importance,3.74,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.3.c,Social Orientation,IM,Importance,3.83,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.4.a,Self Control,IM,Importance,4.3,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.52,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.57,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.5.a,Dependability,IM,Importance,4.57,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.5.b,Attention to Detail,IM,Importance,4.09,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.5.c,Integrity,IM,Importance,4.64,22,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.6,Independence,IM,Importance,4.3,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.7.a,Innovation,IM,Importance,4.13,23,,,,,Jul-16,Occupational Expert
112022,Sales Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.14,22,,,,,Jul-16,Occupational Expert
112031,Public Relations and Fundraising Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.33,29,0.19,3.95,4.71,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.1.b,Persistence,IM,Importance,4.53,29,0.18,4.16,4.9,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.1.c,Initiative,IM,Importance,4.86,30,0.06,4.73,4.99,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.2.b,Leadership,IM,Importance,4.3,30,0.15,3.99,4.62,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.3.a,Cooperation,IM,Importance,4.41,30,0.14,4.12,4.69,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.3.b,Concern for Others,IM,Importance,4.16,30,0.21,3.73,4.59,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.3.c,Social Orientation,IM,Importance,4.15,30,0.16,3.83,4.47,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.4.a,Self Control,IM,Importance,3.94,30,0.24,3.44,4.44,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.17,30,0.24,3.69,4.66,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.5,30,0.19,4.1,4.9,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.5.a,Dependability,IM,Importance,4.65,30,0.13,4.39,4.91,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.5.b,Attention to Detail,IM,Importance,4.56,30,0.15,4.26,4.86,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.5.c,Integrity,IM,Importance,4.93,30,0.05,4.84,5,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.6,Independence,IM,Importance,4.17,30,0.22,3.73,4.61,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.7.a,Innovation,IM,Importance,3.68,30,0.13,3.42,3.94,N,Jul-17,Incumbent
112031,Public Relations and Fundraising Managers,1.C.7.b,Analytical Thinking,IM,Importance,3.79,30,0.21,3.37,4.22,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.1.a,Achievement/Effort,IM,Importance,3.97,45,0.09,3.8,4.14,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.1.b,Persistence,IM,Importance,3.98,45,0.13,3.71,4.25,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.1.c,Initiative,IM,Importance,4.24,44,0.09,4.07,4.41,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.2.b,Leadership,IM,Importance,3.95,45,0.23,3.48,4.42,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.3.a,Cooperation,IM,Importance,4.3,45,0.09,4.11,4.48,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.3.b,Concern for Others,IM,Importance,4.03,45,0.23,3.57,4.5,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.3.c,Social Orientation,IM,Importance,3.65,45,0.17,3.31,4,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.4.a,Self Control,IM,Importance,4.53,44,0.13,4.28,4.78,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.44,45,0.14,4.15,4.73,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.19,45,0.09,4.02,4.37,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.5.a,Dependability,IM,Importance,4.69,45,0.09,4.5,4.88,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.5.b,Attention to Detail,IM,Importance,4.34,45,0.12,4.11,4.57,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.5.c,Integrity,IM,Importance,4.73,45,0.09,4.54,4.92,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.6,Independence,IM,Importance,4.11,45,0.11,3.89,4.34,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.7.a,Innovation,IM,Importance,3.85,45,0.09,3.66,4.04,N,Jul-17,Incumbent
113011,Administrative Services Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.04,45,0.12,3.8,4.28,N,Jul-17,Incumbent
113021,Computer and Information Systems Managers,1.C.1.a,Achievement/Effort,IM,Importance,3.91,26,0.22,3.45,4.37,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.1.b,Persistence,IM,Importance,4.03,26,0.17,3.67,4.38,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.1.c,Initiative,IM,Importance,4.36,26,0.15,4.05,4.67,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.2.b,Leadership,IM,Importance,4.15,26,0.29,3.57,4.74,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.3.a,Cooperation,IM,Importance,4.33,26,0.18,3.95,4.71,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.3.b,Concern for Others,IM,Importance,3.71,26,0.36,2.98,4.44,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.3.c,Social Orientation,IM,Importance,3.69,26,0.4,2.88,4.51,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.4.a,Self Control,IM,Importance,4.1,26,0.17,3.75,4.46,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.16,26,0.22,3.7,4.63,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.19,26,0.12,3.95,4.44,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.5.a,Dependability,IM,Importance,4.54,26,0.13,4.28,4.79,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.5.b,Attention to Detail,IM,Importance,4.67,25,0.13,4.4,4.93,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.5.c,Integrity,IM,Importance,4.67,26,0.13,4.39,4.94,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.6,Independence,IM,Importance,3.8,26,0.18,3.43,4.17,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.7.a,Innovation,IM,Importance,3.7,26,0.2,3.29,4.12,N,Jul-16,Incumbent
113021,Computer and Information Systems Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.25,26,0.17,3.91,4.6,N,Jul-16,Incumbent
113031.01,Treasurers and Controllers,1.C.1.a,Achievement/Effort,IM,Importance,4.3,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.1.b,Persistence,IM,Importance,4.23,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.1.c,Initiative,IM,Importance,4.57,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.2.b,Leadership,IM,Importance,4.6,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.3.a,Cooperation,IM,Importance,4.03,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.3.b,Concern for Others,IM,Importance,3.23,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.3.c,Social Orientation,IM,Importance,3.23,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.4.a,Self Control,IM,Importance,4,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.4.b,Stress Tolerance,IM,Importance,4.2,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.1,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.5.a,Dependability,IM,Importance,4.52,29,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.5.b,Attention to Detail,IM,Importance,4.5,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.5.c,Integrity,IM,Importance,4.9,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.6,Independence,IM,Importance,4.03,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.7.a,Innovation,IM,Importance,3.57,30,,,,,Jul-12,Occupational Expert
113031.01,Treasurers and Controllers,1.C.7.b,Analytical Thinking,IM,Importance,4.63,30,,,,,Jul-12,Occupational Expert
113031.02,"Financial Managers, Branch or Department",1.C.1.a,Achievement/Effort,IM,Importance,4.42,31,0.19,4.03,4.81,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.1.b,Persistence,IM,Importance,4.42,31,0.19,4.02,4.81,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.1.c,Initiative,IM,Importance,4.28,31,0.13,4.01,4.55,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.2.b,Leadership,IM,Importance,4.4,31,0.18,4.04,4.76,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.3.a,Cooperation,IM,Importance,4.19,30,0.31,3.56,4.83,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.3.b,Concern for Others,IM,Importance,3.71,30,0.44,2.8,4.61,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.3.c,Social Orientation,IM,Importance,3.62,30,0.45,2.71,4.53,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.4.a,Self Control,IM,Importance,4.18,30,0.19,3.8,4.56,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.4.b,Stress Tolerance,IM,Importance,4.23,30,0.15,3.93,4.54,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.4.c,Adaptability/Flexibility,IM,Importance,4.31,30,0.13,4.03,4.58,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.5.a,Dependability,IM,Importance,4.71,30,0.15,4.4,5,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.5.b,Attention to Detail,IM,Importance,4.64,30,0.16,4.32,4.96,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.5.c,Integrity,IM,Importance,4.73,31,0.14,4.44,5,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.6,Independence,IM,Importance,3.72,31,0.24,3.23,4.22,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.7.a,Innovation,IM,Importance,3.33,31,0.23,2.86,3.81,N,Jul-14,Incumbent
113031.02,"Financial Managers, Branch or Department",1.C.7.b,Analytical Thinking,IM,Importance,3.87,31,0.23,3.4,4.34,N,Jul-14,Incumbent
113051,Industrial Production Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.19,38,0.16,3.87,4.52,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.1.b,Persistence,IM,Importance,4.2,38,0.11,3.97,4.43,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.1.c,Initiative,IM,Importance,4.34,38,0.11,4.12,4.56,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.2.b,Leadership,IM,Importance,4.78,38,0.07,4.63,4.93,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.3.a,Cooperation,IM,Importance,4.39,38,0.14,4.1,4.67,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.3.b,Concern for Others,IM,Importance,3.85,38,0.2,3.46,4.25,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.3.c,Social Orientation,IM,Importance,4.04,38,0.14,3.76,4.32,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.4.a,Self Control,IM,Importance,4.34,38,0.17,4,4.67,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.54,38,0.13,4.28,4.79,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.39,38,0.11,4.16,4.62,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.5.a,Dependability,IM,Importance,4.71,38,0.09,4.52,4.89,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.5.b,Attention to Detail,IM,Importance,4.5,38,0.13,4.24,4.76,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.5.c,Integrity,IM,Importance,4.59,38,0.13,4.33,4.86,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.6,Independence,IM,Importance,4,38,0.19,3.62,4.37,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.7.a,Innovation,IM,Importance,3.85,38,0.14,3.57,4.13,N,Jul-13,Incumbent
113051,Industrial Production Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.12,38,0.13,3.85,4.39,N,Jul-13,Incumbent
113051.01,Quality Control Systems Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.05,17,0.16,3.71,4.39,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.1.b,Persistence,IM,Importance,4.08,17,0.21,3.63,4.53,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.1.c,Initiative,IM,Importance,4.3,17,0.22,3.84,4.77,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.2.b,Leadership,IM,Importance,4.2,17,0.33,3.5,4.9,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.3.a,Cooperation,IM,Importance,4.08,17,0.19,3.67,4.49,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.3.b,Concern for Others,IM,Importance,3.64,17,0.21,3.2,4.07,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.3.c,Social Orientation,IM,Importance,3.44,17,0.3,2.8,4.09,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.4.a,Self Control,IM,Importance,4.08,17,0.23,3.59,4.57,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.58,17,0.21,4.14,5,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.02,17,0.23,3.52,4.51,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.5.a,Dependability,IM,Importance,4.63,17,0.21,4.18,5,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.5.b,Attention to Detail,IM,Importance,4.74,17,0.14,4.45,5,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.5.c,Integrity,IM,Importance,4.56,17,0.17,4.2,4.92,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.6,Independence,IM,Importance,4.11,17,0.25,3.58,4.65,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.7.a,Innovation,IM,Importance,3.84,17,0.27,3.27,4.4,N,Jul-12,Incumbent
113051.01,Quality Control Systems Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.64,17,0.16,4.29,4.99,N,Jul-12,Incumbent
113051.02,Geothermal Production Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.14,21,0.1,3.92,4.35,N,Jul-11,Incumbent
